,Company,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price_euros
275,4,15.6,4.0,65.0,12,10.0,40.0,2,713.07
276,4,17.3,2.0,17.0,8,,5.0,4,1099.0
277,2,15.6,5.0,17.0,8,10.0,68.0,2,745.0
278,5,17.3,19.0,6.0,4,10.0,35.0,2,489.0
279,5,17.3,2.0,17.0,8,20.0,69.0,1,849.0
280,5,17.3,19.0,65.0,6,,52.0,2,859.0
281,4,15.6,2.0,60.0,4,10.0,18.0,4,428.0
282,5,15.6,5.0,8.0,8,15.0,54.0,2,829.0
283,5,15.6,2.0,94.0,6,15.0,40.0,2,579.0
284,2,15.6,5.0,17.0,8,15.0,69.0,2,951.0
285,2,15.6,6.0,65.0,12,10.0,40.0,2,659.0
286,5,15.6,5.0,65.0,8,15.0,,2,1097.0
287,3,15.6,2.0,94.0,8,15.0,52.0,2,977.0
288,5,15.6,5.0,43.0,16,,55.0,2,1179.0
289,5,15.6,2.0,65.0,8,10.0,52.0,1,659.01
290,2,15.6,4.0,70.0,2,8.0,28.0,7,199.0
291,3,17.3,2.0,43.0,8,10.0,54.0,2,1187.0
292,1,17.3,19.0,6.0,8,10.0,35.0,2,489.0
293,4,15.6,2.0,43.0,8,15.0,54.0,2,1829.0
294,5,15.6,2.0,26.0,8,15.0,46.0,2,739.0
295,5,15.6,5.0,43.0,8,10.0,57.0,2,1299.0
296,2,15.6,2.0,43.0,8,15.0,55.0,4,979.0
297,4,17.3,2.0,62.0,16,15.0,73.0,2,2884.86
298,5,15.6,2.0,37.0,6,10.0,,2,499.0
299,3,15.6,2.0,65.0,16,27.0,52.0,2,1468.0
300,3,14.0,4.0,90.0,4,4.0,40.0,2,509.0
301,3,17.3,2.0,43.0,16,,58.0,2,2122.0
302,5,17.3,19.0,94.0,6,10.0,,2,649.0
303,5,15.6,4.0,94.0,8,20.0,52.0,1,549.0
304,3,15.6,2.0,43.0,8,,55.0,2,1265.0
305,5,15.6,4.0,88.0,4,10.0,32.0,1,359.99
306,1,13.3,7.0,,16,15.0,40.0,2,1975.0
307,9,15.6,5.0,79.0,8,15.0,50.0,2,1043.0
308,5,15.6,2.0,94.0,8,,52.0,2,819.0
309,1,15.6,2.0,6.0,4,10.0,35.0,2,469.0
310,5,13.3,5.0,94.0,8,15.0,40.0,2,999.0
311,4,13.3,13.0,17.0,16,11.0,46.0,2,2499.0
312,7,15.6,5.0,43.0,16,,58.0,2,2099.0
313,2,15.6,2.0,40.0,8,15.0,13.0,2,469.0
314,3,11.6,21.0,66.0,2,21.0,31.0,2,275.0
315,4,15.6,2.0,26.0,8,,5.0,2,844.0
316,1,13.3,13.0,17.0,16,11.0,46.0,2,2449.0
317,5,13.3,4.0,96.0,4,7.0,33.0,7,459.9
318,1,14.0,2.0,94.0,8,15.0,40.0,2,980.0
319,2,11.6,4.0,23.0,4,2.0,30.0,2,485.0
320,1,14.0,2.0,65.0,8,15.0,40.0,2,1292.0
321,5,17.3,19.0,94.0,4,10.0,49.0,2,589.0
322,3,14.0,2.0,65.0,8,15.0,40.0,2,1094.0
323,1,15.6,22.0,17.0,8,10.0,46.0,2,902.0
324,2,15.6,4.0,47.0,8,15.0,23.0,2,659.0
325,5,14.0,4.0,66.0,4,21.0,31.0,2,292.0
326,2,15.6,4.0,94.0,6,10.0,40.0,2,549.0
327,3,15.6,2.0,65.0,8,15.0,52.0,2,1049.9
328,1,12.5,2.0,65.0,8,15.0,40.0,2,1335.0
329,4,15.6,14.0,43.0,32,11.0,54.0,2,2639.0
330,7,17.3,2.0,43.0,8,,55.0,2,1199.0
331,9,15.6,5.0,94.0,8,15.0,40.0,2,943.0
332,3,14.0,2.0,65.0,8,,40.0,2,1334.0
333,5,15.6,2.0,6.0,4,10.0,35.0,2,449.0
334,3,15.6,2.0,43.0,8,15.0,54.0,2,999.0
335,1,14.0,2.0,29.0,8,15.0,40.0,2,1268.0
336,4,15.6,5.0,26.0,8,,52.0,2,1049.0
337,1,15.6,2.0,94.0,8,15.0,40.0,2,1144.0
338,3,15.6,4.0,66.0,4,10.0,31.0,4,274.99
339,4,15.6,2.0,26.0,8,15.0,52.0,2,1142.75
340,4,15.6,4.0,68.0,4,24.0,28.0,4,274.9
341,5,15.6,2.0,87.0,12,20.0,5.0,2,899.0
342,1,15.6,5.0,90.0,8,10.0,,2,716.0
